,ip,tcm_id,response,xd
79470,81073465,tcm:526-10838,0,08-28
9997,33048621,tcm:526-228258,0,02-27
47146,20324380,tcm:526-116442,0,10-30
141,95354290,tcm:526-10787,0,02-27
64456,51972316,tcm:526-695181,0,08-28
58560,76224106,tcm:526-149043,0,06-26
57872,11887764,tcm:526-12180,1,03-27
40348,97711857,tcm:526-276414,0,02-27
36921,47235612,tcm:526-12174,0,04-25
61154,30797820,tcm:526-704480,0,08-28
65222,7043201,tcm:526-244935,0,07-24
54485,82703024,tcm:526-228258,0,02-27
70674,92783379,tcm:526-12174,0,04-25
62320,75419784,tcm:526-782343,0,01-30
461,20320556,tcm:526-492865,0,02-27
55245,80870056,tcm:526-782343,0,01-30
73304,9371100,tcm:526-12174,0,06-26
27806,10591106,tcm:526-228258,0,02-27
9424,30848221,tcm:526-12174,0,04-25
42738,32375072,tcm:526-22867,1,08-28
28373,87452938,tcm:526-682379,0,06-26
43351,65618789,tcm:526-679101,0,04-25
32764,35156684,tcm:526-22867,0,09-26
1830,36756635,tcm:526-707567,1,09-26
4773,4589648,tcm:526-654768,0,03-27
69768,52485631,tcm:526-670542,1,03-27
15947,21955329,tcm:526-388698,1,04-25
33235,27059765,tcm:526-12167,0,09-26
5232,36912302,tcm:526-149043,1,06-26
31195,59804902,tcm:526-22867,0,10-30
11435,30211627,tcm:526-204679,0,01-30
8395,6705005,tcm:526-16645,0,07-24
17470,65393045,tcm:526-208086,0,09-26
65352,28658409,tcm:526-704480,0,08-28
35417,99770004,tcm:526-653510,1,07-24
52910,88547243,tcm:526-208086,0,06-26
43159,99627129,tcm:526-208086,0,04-25
47604,90182041,tcm:526-70899,1,04-25
73741,46878913,tcm:526-164352,0,05-30
4189,16931744,tcm:526-204679,0,01-30
15652,716620,tcm:526-388698,1,04-25
8208,1716577,tcm:526-208086,0,03-27
77403,72820492,tcm:526-653510,0,06-26
69862,28892724,tcm:526-682576,1,03-27
46213,76317912,tcm:526-707527,0,09-26
58970,7644846,tcm:526-276414,0,02-27
49150,3833710,tcm:526-12174,0,08-28
1416,16258638,tcm:526-116442,0,05-30
34500,37607223,tcm:526-224772,1,02-27
19615,14661286,tcm:526-12180,1,03-27
52918,88547243,tcm:526-13782,0,08-28
67128,69645032,tcm:526-149043,0,05-30
53593,80365598,tcm:526-670542,0,03-27
42510,57907566,tcm:526-249037,0,04-25
15822,15766287,tcm:526-681575,0,03-27
7600,1285174,tcm:526-46242,0,05-30
66817,81753916,tcm:526-655038,0,01-30
16107,17653321,tcm:526-208086,0,07-24
42056,44795129,tcm:526-273898,1,01-30
62354,11574417,tcm:526-346380,0,01-30
42651,83839662,tcm:526-12174,0,05-30
4824,21809257,tcm:526-688510,0,05-30
4071,50631052,tcm:526-22867,0,09-26
58527,76224106,tcm:526-239640,0,07-24
27458,30087646,tcm:526-681575,0,03-27
10259,91276684,tcm:526-248966,0,10-30
4583,9249629,tcm:526-655038,0,01-30
1340,21345577,tcm:526-191289,0,06-26
70439,90009875,tcm:526-12167,0,09-26
11156,37147964,tcm:526-10838,0,08-28
72270,2603927,tcm:526-40469,0,07-24
19637,14661286,tcm:526-93195,1,04-25
34512,37607223,tcm:526-22867,0,08-28
57168,2853693,tcm:526-674187,0,03-27
64948,61317971,tcm:526-346380,1,01-30
57228,96237549,tcm:526-231792,0,10-30
62687,21890591,tcm:526-208086,1,05-30
23072,24678410,tcm:526-12174,1,08-28
65057,98780480,tcm:526-244935,0,06-26
15861,15766287,tcm:526-208086,0,06-26
36380,88032515,tcm:526-149043,0,06-26
22765,96393018,tcm:526-13782,0,07-24
25063,17639664,tcm:526-388698,1,04-25
3607,34722158,tcm:526-12174,0,04-25
75302,49483396,tcm:526-16645,0,06-26
79130,57477800,tcm:526-681575,0,03-27
48824,14902629,tcm:526-208086,0,07-24
20184,84796812,tcm:526-653510,1,07-24
24730,34544166,tcm:526-707567,1,09-26
59317,36527870,tcm:526-191289,0,06-26
25556,10309819,tcm:526-208086,1,10-30
69112,82710030,tcm:526-244935,0,06-26
67925,1885955,tcm:526-237984,0,06-26
12034,72537697,tcm:526-12167,0,09-26
6440,18599754,tcm:526-654768,0,03-27
41914,21717468,tcm:526-695181,0,07-24
71980,31171982,tcm:526-231792,0,10-30
52324,50202899,tcm:526-346380,0,01-30
61578,66246774,tcm:526-12174,0,10-30
16913,54841031,tcm:526-204679,0,01-30
72913,47778664,tcm:526-670542,0,03-27
27809,10591106,tcm:526-52560,0,02-27
35446,99770004,tcm:526-551763,1,02-27
38400,58125403,tcm:526-276414,0,02-27
63765,80751782,tcm:526-682379,0,06-26
48030,4632747,tcm:526-209216,0,01-30
45623,89907129,tcm:526-12174,0,05-30
75991,78763613,tcm:526-707567,0,09-26
73820,25157725,tcm:526-149043,0,07-24
10560,8130823,tcm:526-782343,0,04-25
21779,25833349,tcm:526-208086,0,10-30
72459,52316037,tcm:526-704480,0,08-28
29438,34204982,tcm:526-12174,0,10-30
26273,59258749,tcm:526-16645,0,06-26
45252,4452464,tcm:526-149043,0,07-24
71737,52083303,tcm:526-22867,1,08-28
22562,92157303,tcm:526-10838,0,09-26
27111,46224161,tcm:526-695181,0,08-28
24945,37093906,tcm:526-258965,0,09-26
37667,25147697,tcm:526-228258,0,02-27
54545,24123480,tcm:526-22867,0,10-30
25141,64103947,tcm:526-258965,0,09-26
61534,2148609,tcm:526-653510,0,06-26
42857,18557857,tcm:526-273898,0,01-30
47507,56349294,tcm:526-12174,0,10-30
67017,44053117,tcm:526-239640,0,08-28
46105,6137246,tcm:526-12174,0,08-28
46311,28753495,tcm:526-70899,0,04-25
5290,36912302,tcm:526-655038,0,01-30
3075,94962385,tcm:526-208086,0,10-30
10571,8130823,tcm:526-116442,0,09-26
73970,35364364,tcm:526-52560,0,02-27
79774,95341607,tcm:526-18025,1,10-30
18742,98943563,tcm:526-385364,0,01-30
34316,1103855,tcm:526-149043,0,07-24
48891,6507172,tcm:526-12180,1,03-27
5597,74699348,tcm:526-784445,0,01-30
13036,741338,tcm:526-70899,1,04-25
24134,8297780,tcm:526-12174,1,10-30
17324,44703912,tcm:526-679101,0,04-25
32810,75532794,tcm:526-655038,0,01-30
74631,29357068,tcm:526-204679,0,01-30
45135,50582333,tcm:526-248966,0,10-30
10127,2998426,tcm:526-551763,0,02-27
58415,93560826,tcm:526-273898,1,01-30
11171,37147964,tcm:526-653510,0,07-24
29218,76442608,tcm:526-655038,0,01-30
80229,74766154,tcm:526-688510,0,05-30
66687,21647533,tcm:526-153236,0,10-30
38019,5000932,tcm:526-191289,0,06-26
10170,53957348,tcm:526-224772,0,02-27
16178,18752276,tcm:526-492865,1,02-27
1615,50953371,tcm:526-10787,0,02-27
50635,96395461,tcm:526-149043,0,07-24
14989,45445021,tcm:526-273898,0,01-30
44275,19475507,tcm:526-208086,0,04-25
65343,32353688,tcm:526-273898,0,01-30
34400,79691638,tcm:526-16645,0,06-26
52441,85837,tcm:526-681575,0,03-27
23832,51769958,tcm:526-116442,0,10-30
40267,37467115,tcm:526-208086,0,03-27
41465,19579005,tcm:526-116442,0,08-28
4237,96292476,tcm:526-684643,0,04-25
46227,76317912,tcm:526-244935,0,06-26
30283,57396076,tcm:526-684643,1,04-25
24974,37093906,tcm:526-228258,0,02-27
37677,40497081,tcm:526-116442,0,08-28
2499,88216067,tcm:526-209216,0,01-30
77155,50079080,tcm:526-681575,0,03-27
70320,25668898,tcm:526-70899,0,04-25
12192,53611516,tcm:526-12180,0,03-27
36519,66261602,tcm:526-273898,0,01-30
14653,1796062,tcm:526-164352,0,05-30
14441,43596104,tcm:526-22867,0,09-26
54320,80405195,tcm:526-239640,0,07-24
17312,78096349,tcm:526-784445,0,01-30
2587,51511421,tcm:526-12174,0,05-30
62321,75419784,tcm:526-385364,0,01-30
79835,95341607,tcm:526-187302,0,02-27
39706,17565592,tcm:526-12174,0,06-26
42832,18557857,tcm:526-164352,0,05-30
20563,60417315,tcm:526-10849,0,09-26
13721,50153164,tcm:526-153236,0,10-30
34835,32240400,tcm:526-248966,1,10-30
10116,2998426,tcm:526-237984,0,06-26
56322,69491376,tcm:526-276414,0,02-27
21931,30847606,tcm:526-12174,0,08-28
73848,25157725,tcm:526-18025,0,10-30
65679,65908968,tcm:526-653510,1,07-24
68928,65518163,tcm:526-204679,0,01-30
73774,46878913,tcm:526-707567,0,09-26
39437,59427824,tcm:526-208086,0,05-30
58699,70527327,tcm:526-654768,0,03-27
80507,15613837,tcm:526-52560,0,02-27
28087,25151468,tcm:526-70899,0,04-25
77001,24204102,tcm:526-388698,0,04-25
46016,86695578,tcm:526-93195,0,04-25
38423,60544241,tcm:526-10838,0,09-26
78045,3841728,tcm:526-208086,0,05-30
31741,4191679,tcm:526-244935,0,07-24
41455,19579005,tcm:526-16645,0,07-24
3567,48302410,tcm:526-239640,0,07-24
38875,52475796,tcm:526-10849,0,09-26
69719,89514764,tcm:526-10787,0,02-27
63529,3587410,tcm:526-10787,0,02-27
71064,44770687,tcm:526-208086,0,08-28
58045,17940401,tcm:526-228258,0,02-27
60854,41810551,tcm:526-191289,0,06-26
2614,58648991,tcm:526-18025,0,10-30
57222,2853693,tcm:526-18025,0,10-30
47508,56349294,tcm:526-248966,0,10-30
7024,63423394,tcm:526-237984,1,06-26
18602,68314101,tcm:526-653510,0,06-26
59060,34666197,tcm:526-688510,0,05-30
40431,50197021,tcm:526-712788,0,06-26
13490,21882774,tcm:526-653510,0,06-26
40439,50197021,tcm:526-153236,0,10-30
59987,89807923,tcm:526-209028,1,01-30
14613,1796062,tcm:526-258965,1,09-26
13805,39262533,tcm:526-13782,1,07-24
53380,44268505,tcm:526-18025,0,10-30
55190,83847645,tcm:526-187302,0,02-27
79624,20887953,tcm:526-707567,0,09-26
21907,30847606,tcm:526-492865,0,02-27
74740,92234515,tcm:526-551763,0,02-27
56844,80275207,tcm:526-224772,1,02-27
9906,98501471,tcm:526-209216,0,01-30
17728,27153567,tcm:526-164352,0,05-30
54754,62614648,tcm:526-249921,0,02-27
57863,11887764,tcm:526-16645,1,05-30
9877,40477082,tcm:526-208086,0,06-26
44234,6471838,tcm:526-164352,0,05-30
8271,61410643,tcm:526-224772,0,02-27
63009,25033280,tcm:526-208086,0,05-30
15356,95157799,tcm:526-16645,0,05-30
59822,70186693,tcm:526-10787,1,02-27
73398,29009869,tcm:526-681575,0,03-27
50611,58501176,tcm:526-16645,0,05-30
40033,69204841,tcm:526-249037,0,04-25
2629,58648991,tcm:526-385364,0,01-30
2359,96203156,tcm:526-16645,0,07-24
77948,58147318,tcm:526-18025,0,10-30
35197,59657283,tcm:526-208086,0,05-30
68396,64083953,tcm:526-12174,0,08-28
9231,48057319,tcm:526-10787,0,02-27
68845,70581584,tcm:526-191289,0,06-26
52870,57779338,tcm:526-149043,0,07-24
25161,79930620,tcm:526-10787,0,02-27
46032,83545651,tcm:526-12167,0,10-30
12777,17596063,tcm:526-13782,0,07-24
75503,60894277,tcm:526-695181,0,07-24
5964,17951177,tcm:526-782343,0,01-30
2727,49409989,tcm:526-10838,1,08-28
9420,30848221,tcm:526-13782,0,07-24
25382,19315048,tcm:526-695181,0,07-24
34544,68366258,tcm:526-149043,0,06-26
1444,16258638,tcm:526-492865,0,02-27
19993,69530129,tcm:526-10849,0,09-26
61462,62056694,tcm:526-688510,0,05-30
61122,59792171,tcm:526-10838,0,08-28
44214,6471838,tcm:526-22867,0,08-28
20953,49553283,tcm:526-244935,0,06-26
60914,48522181,tcm:526-18025,0,10-30
26372,17435301,tcm:526-244935,0,06-26
56480,3598262,tcm:526-231792,0,10-30
78371,2204339,tcm:526-707527,0,09-26
48470,28358590,tcm:526-10849,0,09-26
63320,84468148,tcm:526-93195,0,04-25
19435,45347233,tcm:526-80807,0,03-27
12004,72537697,tcm:526-208086,0,07-24
24655,58747817,tcm:526-80807,0,03-27
63094,94729026,tcm:526-10849,0,09-26
44392,47390898,tcm:526-688510,1,05-30
24147,8297780,tcm:526-653510,1,07-24
39221,10114720,tcm:526-18025,0,10-30
18997,20124918,tcm:526-46242,0,05-30
61325,66779764,tcm:526-712788,0,06-26
46569,8591573,tcm:526-684643,0,04-25
9916,98501471,tcm:526-12167,0,09-26
6786,21233638,tcm:526-116442,0,10-30
50986,52449216,tcm:526-12174,0,05-30
64911,31824465,tcm:526-12180,0,03-27
34859,94430768,tcm:526-653510,1,07-24
49636,49371670,tcm:526-116442,0,09-26
60321,93662097,tcm:526-149043,0,06-26
13601,9457433,tcm:526-258965,0,09-26
59204,54466011,tcm:526-258965,0,09-26
66069,46374817,tcm:526-244935,0,07-24
2251,33801571,tcm:526-388698,0,04-25
17284,78096349,tcm:526-276414,0,02-27
43467,49641139,tcm:526-209216,0,01-30
7914,3769421,tcm:526-695181,1,07-24
63856,84211338,tcm:526-12174,0,07-24
46412,15566023,tcm:526-653510,0,07-24
34903,94430768,tcm:526-681575,0,03-27
39159,10114720,tcm:526-13782,0,07-24
61483,2148609,tcm:526-707527,0,09-26
51994,46360634,tcm:526-52560,0,02-27
72786,96339085,tcm:526-656536,1,04-25
18744,98943563,tcm:526-273898,0,01-30
5995,17951177,tcm:526-18025,0,10-30
68656,27711499,tcm:526-261006,1,01-30
63819,84211338,tcm:526-153236,0,10-30
2056,68370227,tcm:526-22867,0,08-28
25111,64103947,tcm:526-12174,0,04-25
74179,94525702,tcm:526-695181,0,08-28
22789,96393018,tcm:526-12174,0,10-30
50095,65182315,tcm:526-12180,1,03-27
75710,10792231,tcm:526-18025,0,10-30
59028,7644846,tcm:526-388698,0,04-25
76349,63680941,tcm:526-13782,1,07-24
13932,55919570,tcm:526-208086,1,05-30
2022,49237189,tcm:526-682379,0,06-26
29928,49236489,tcm:526-385364,0,01-30
52598,35538722,tcm:526-208086,0,03-27
77296,922777,tcm:526-682379,0,06-26
57377,49161178,tcm:526-93195,1,04-25
40456,50197021,tcm:526-653510,0,07-24
21475,12023267,tcm:526-12167,0,09-26
34410,79691638,tcm:526-681575,0,03-27
66826,81753916,tcm:526-249921,0,02-27
47910,44368350,tcm:526-707527,0,09-26
44648,95340972,tcm:526-149043,1,06-26
59059,34666197,tcm:526-164352,0,05-30
5460,4258605,tcm:526-684643,0,04-25
14513,97741551,tcm:526-12174,0,07-24
75089,92323691,tcm:526-199040,0,08-28
2631,58648991,tcm:526-273898,0,01-30
12398,67272509,tcm:526-258965,0,09-26
61402,62056694,tcm:526-679101,0,04-25
32865,62585640,tcm:526-259315,0,10-30
26512,17597156,tcm:526-244935,1,06-26
70980,57786997,tcm:526-10849,0,09-26
63200,52303329,tcm:526-16645,0,05-30
42407,3857212,tcm:526-13782,0,08-28
13385,3957311,tcm:526-244935,1,06-26
28888,88260415,tcm:526-704480,0,08-28
17058,78282752,tcm:526-237984,0,06-26
39848,96126295,tcm:526-149043,0,06-26
2494,88216067,tcm:526-656536,0,04-25
45209,50582333,tcm:526-695181,0,08-28
43179,99627129,tcm:526-149043,0,06-26
31977,75566156,tcm:526-22867,0,09-26
27894,85459963,tcm:526-46242,0,05-30
8405,6705005,tcm:526-707527,1,09-26
25283,51129676,tcm:526-187302,0,02-27
1767,19695842,tcm:526-10787,0,02-27
18694,98943563,tcm:526-52560,0,02-27
16765,94590770,tcm:526-12174,0,06-26
19271,19695368,tcm:526-12174,1,05-30
21227,46718781,tcm:526-681575,0,03-27
26768,62159474,tcm:526-239640,0,08-28
35467,99770004,tcm:526-208086,0,08-28
14113,96761303,tcm:526-679101,0,04-25
32943,95745654,tcm:526-22867,0,09-26
77455,51288730,tcm:526-16645,0,06-26
62883,44399190,tcm:526-10838,0,08-28
54412,54956246,tcm:526-684643,1,04-25
47917,44368350,tcm:526-208086,0,09-26
64275,45246584,tcm:526-654768,0,03-27
9899,98501471,tcm:526-13782,0,07-24
57929,11887764,tcm:526-12167,1,09-26
33933,88397979,tcm:526-209216,0,01-30
29119,19118805,tcm:526-273898,0,01-30
60723,63984368,tcm:526-12180,1,03-27
58249,58225431,tcm:526-116442,0,09-26
10230,91276684,tcm:526-674187,0,03-27
62717,21890591,tcm:526-492865,0,02-27
3758,46970339,tcm:526-16645,1,05-30
50350,88600965,tcm:526-244935,0,06-26
13014,741338,tcm:526-208086,0,03-27
39581,99722419,tcm:526-10787,0,02-27
5967,17951177,tcm:526-261006,0,01-30
47511,56349294,tcm:526-208086,0,10-30
11789,69669303,tcm:526-153236,0,10-30
21977,30847606,tcm:526-12174,0,04-25
42279,53349469,tcm:526-224772,1,02-27
27721,20162520,tcm:526-249921,0,02-27
68079,91186079,tcm:526-208086,0,06-26
2017,49237189,tcm:526-259315,1,10-30
53167,92796413,tcm:526-492865,0,02-27
30302,1842950,tcm:526-10849,0,09-26
34591,68366258,tcm:526-239640,0,08-28
48813,14902629,tcm:526-273898,0,01-30
64345,19578578,tcm:526-208086,0,08-28
67613,94949564,tcm:526-16645,1,05-30
29844,8545330,tcm:526-22867,0,09-26
46030,83545651,tcm:526-18025,0,10-30
50402,41689771,tcm:526-149043,0,06-26
52315,66969993,tcm:526-656536,0,04-25
12888,8501994,tcm:526-208086,0,09-26
64067,42107013,tcm:526-249921,0,02-27
72178,2247004,tcm:526-670542,0,03-27
23160,17695510,tcm:526-13782,1,07-24
43996,8646481,tcm:526-16645,1,06-26
18686,98943563,tcm:526-653510,0,05-30
13838,18764487,tcm:526-149043,1,07-24
57164,2853693,tcm:526-208086,0,03-27
62632,18188057,tcm:526-12174,0,10-30
48366,63974087,tcm:526-695181,1,07-24
27489,90685835,tcm:526-695181,0,08-28
35640,24129890,tcm:526-653510,0,06-26
28821,72499089,tcm:526-12167,0,10-30
16821,94590770,tcm:526-208086,0,07-24
70956,57786997,tcm:526-653510,0,06-26
8695,60159401,tcm:526-12180,0,03-27
28657,32460052,tcm:526-239640,0,07-24
9433,30848221,tcm:526-654768,0,03-27
63435,30821451,tcm:526-149043,0,07-24
36907,47235612,tcm:526-187302,0,02-27
50605,58501176,tcm:526-679101,0,04-25
14331,16315185,tcm:526-261006,0,01-30
30127,34021775,tcm:526-12174,0,07-24
55734,63118134,tcm:526-237984,1,06-26
51072,10940177,tcm:526-653510,1,07-24
1174,66966434,tcm:526-276414,0,02-27
22578,92157303,tcm:526-249921,0,02-27
37450,40653261,tcm:526-12174,0,05-30
75275,12039627,tcm:526-22867,0,09-26
32715,35156684,tcm:526-688510,1,05-30
46387,15566023,tcm:526-388698,1,04-25
42697,83839662,tcm:526-149043,0,07-24
8618,15448959,tcm:526-782343,0,01-30
69255,42599603,tcm:526-16645,0,05-30
63411,30821451,tcm:526-70899,1,04-25
37849,49876134,tcm:526-276414,0,02-27
51435,11174143,tcm:526-93195,1,04-25
76054,21678499,tcm:526-12174,0,08-28
73598,26140567,tcm:526-492865,0,02-27
67149,63317835,tcm:526-782343,0,04-25
25665,16282513,tcm:526-164352,0,05-30
22899,73807277,tcm:526-208086,0,03-27
39882,64920697,tcm:526-385364,0,01-30
53834,18310510,tcm:526-116442,0,10-30
13911,55919570,tcm:526-273898,0,01-30
75049,92323691,tcm:526-12174,0,09-26
1818,36756635,tcm:526-653510,0,07-24
31544,17881633,tcm:526-149043,0,06-26
35010,96007065,tcm:526-12167,0,10-30
32841,75532794,tcm:526-149043,0,06-26
35222,59657283,tcm:526-93195,1,04-25
57355,49161178,tcm:526-209028,1,01-30
60112,62171918,tcm:526-656536,0,04-25
14683,10216599,tcm:526-707527,0,09-26
72811,96339085,tcm:526-653510,0,07-24
77995,3841728,tcm:526-261006,0,01-30
32257,48797292,tcm:526-782343,1,01-30
6807,21233638,tcm:526-492865,1,02-27
35476,99770004,tcm:526-273898,0,01-30
16030,17653321,tcm:526-418532,0,02-27
16158,18752276,tcm:526-653510,0,06-26
67243,9140781,tcm:526-237984,0,06-26
72708,25181618,tcm:526-684643,1,04-25
1555,50953371,tcm:526-199040,0,08-28
74765,92234515,tcm:526-204679,0,01-30
46688,94551286,tcm:526-681575,1,03-27
11008,61808163,tcm:526-10838,0,09-26
66194,3018526,tcm:526-248966,0,10-30
18142,10876983,tcm:526-93195,0,04-25
23837,51769958,tcm:526-153236,0,10-30
24289,50730920,tcm:526-209216,0,01-30
20309,5885492,tcm:526-388698,0,04-25
23267,83344721,tcm:526-191289,0,06-26
80641,81024843,tcm:526-12174,0,09-26
54203,12783832,tcm:526-782343,0,04-25
45944,52777969,tcm:526-199040,0,08-28
76570,82988206,tcm:526-679101,0,04-25
12745,17596063,tcm:526-682379,0,06-26
52948,88547243,tcm:526-674187,0,03-27
821,52856695,tcm:526-208086,0,03-27
67362,35474446,tcm:526-782343,0,01-30
51798,80292489,tcm:526-258965,0,09-26
40382,97711857,tcm:526-784445,0,01-30
72494,52316037,tcm:526-208086,0,05-30
12016,72537697,tcm:526-12174,0,08-28
62566,2570506,tcm:526-695181,0,07-24
56816,51189944,tcm:526-12174,0,05-30
70935,90523021,tcm:526-80807,0,03-27
41392,30548561,tcm:526-655038,0,01-30
11356,22625386,tcm:526-12174,1,05-30
13881,18764487,tcm:526-10787,1,02-27
5396,4258605,tcm:526-22867,0,10-30
37453,40653261,tcm:526-208086,0,05-30
56097,20708651,tcm:526-40469,0,07-24
63130,94729026,tcm:526-12174,0,08-28
15754,69440279,tcm:526-239640,0,07-24
54753,62614648,tcm:526-228258,0,02-27
64127,42107013,tcm:526-712788,0,06-26
16525,99839210,tcm:526-654768,0,03-27
25188,79930620,tcm:526-388698,0,04-25
